tiktoker_name,tiktok_name,subscribers_count,views_avg,likes_avg,comments_avg,shares_avg
ya_gazdanova,Нина Газданова,3400000.0,3700000.0,18400000.0,,880000.0000000001
piperrockelle,Piperrockelle,9000000.0,2400000.0,27539999.999999996,930000.0000000001,
incorrectlyroce,Roce Ordoñez,5000000.0,3100000.0,49950000.0,190000.0,220000.00000000003
wayeelkaboy10,Wayeelka boy10,85240000.0,3700000.0,16960000.0,560000.0,430000.0
joaoferdnan,João Ferdnan,7400000.0,2000000.0,23850000.0,420000.0,910000.0
simpleputin,Просто Путин,6000000.0,3100000.0,15790000.0,1060000.0,220000.00000000003
chapaevva,чапаева,1900000.0,3800000.0,34770000.0,290000.0,170000.0
lyna_com,lyna_com2000,4400000.0,3400000.0,45130000.0,300000.0,110000.00000000001
arigameplays,AriGameplays,19300000.0,2600000.0,44460000.0,450000.0,
tommyinnit,Tommy,11500000.0,1500000.0,43210000.0,760000.0,190000.0
arigameplays,AriGameplays,19300000.0,2600000.0,44460000.0,450000.0,
tommyinnit,Tommy,11500000.0,1500000.0,43210000.0,760000.0,190000.0
alexisomman,Alexis Omman,9200000.0,1600000.0,33000000.0,509999.99999999994,650000.0
samadhiza_,samadhiza,7400000.0,3700000.0,41830000.0,210000.0,180000.0
joerauth_,Joe rauth,4900000.0,2900000.0,46300000.0,160000.0,290000.0
danielarodrice,Daniela Rodrice,9900000.0,4200000.0,73570000.0,150000.0,
official_kep1er,Kep1er,3500000.0,1800000.0,39500000.0,550000.0,270000.0
